season,round,race,date,driver,constructor,position,points,status
2023,1,Bahrain Grand Prix,2023-03-05,Carlos Sainz,Ferrari,4,12.0,Finished
2023,1,Bahrain Grand Prix,2023-03-05,Alexander Albon,Williams,10,1.0,Finished
2023,1,Bahrain Grand Prix,2023-03-05,Logan Sargeant,Williams,12,0.0,+1 Lap
2023,2,Saudi Arabian Grand Prix,2023-03-19,Carlos Sainz,Ferrari,6,8.0,Finished
2023,2,Saudi Arabian Grand Prix,2023-03-19,Logan Sargeant,Williams,16,0.0,Finished
2023,2,Saudi Arabian Grand Prix,2023-03-19,Alexander Albon,Williams,19,0.0,Brakes
2023,3,Australian Grand Prix,2023-04-02,Carlos Sainz,Ferrari,12,0.0,Finished
2023,3,Australian Grand Prix,2023-04-02,Logan Sargeant,Williams,16,0.0,Collision
2023,3,Australian Grand Prix,2023-04-02,Alexander Albon,Williams,19,0.0,Accident
2023,4,Azerbaijan Grand Prix,2023-04-30,Carlos Sainz,Ferrari,5,10.0,Finished
2023,4,Azerbaijan Grand Prix,2023-04-30,Alexander Albon,Williams,12,0.0,Finished
2023,4,Azerbaijan Grand Prix,2023-04-30,Logan Sargeant,Williams,16,0.0,Finished
2023,5,Miami Grand Prix,2023-05-07,Carlos Sainz,Ferrari,5,10.0,Finished
2023,5,Miami Grand Prix,2023-05-07,Alexander Albon,Williams,14,0.0,Finished
2023,5,Miami Grand Prix,2023-05-07,Logan Sargeant,Williams,20,0.0,+1 Lap
2023,6,Monaco Grand Prix,2023-05-28,Carlos Sainz,Ferrari,8,4.0,Finished
2023,6,Monaco Grand Prix,2023-05-28,Alexander Albon,Williams,14,0.0,+1 Lap
2023,6,Monaco Grand Prix,2023-05-28,Logan Sargeant,Williams,18,0.0,+2 Laps
2023,7,Spanish Grand Prix,2023-06-04,Carlos Sainz,Ferrari,5,10.0,Finished
2023,7,Spanish Grand Prix,2023-06-04,Alexander Albon,Williams,16,0.0,+1 Lap
2023,7,Spanish Grand Prix,2023-06-04,Logan Sargeant,Williams,20,0.0,+1 Lap
